Column1;@id;ontology#hasLegend_reverse;deities_candidates;description_reverse;valid;deities_candidates_valid
7144;http://numismatics.org/ocre/id/ric.2_1(2).ves.729;PROVIDEN S C;['Providentia'];Altar;TRUE;['Providentia']
7249;http://numismatics.org/ocre/id/ric.5.gall(1).447;PIETAS AVGG;['Pietas'];"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand";TRUE;['Pietas']
7402;http://numismatics.org/ocre/id/ric.4.el.133A;SACERD DEI SOLIS ELAGAB;['Sol'];Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding upright club in left hand;TRUE;['Sol']
7553;http://numismatics.org/ocre/id/ric.5.val_ii.26;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
7582;http://numismatics.org/ocre/id/ric.5.gall(1).446;PIETAS AVGG;['Pietas'];"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand";TRUE;['Pietas']
7635;http://numismatics.org/ocre/id/ric.5.aur.322;AVRELIANVS AVG CONS;['Constantia', 'Constantinopolis'];Aurelian, standing left, sacrificing at altar, holding patera in right hand and long sceptre in left hand;FALSE;['Constantia', 'Constantinopolis']
7777;http://numismatics.org/ocre/id/ric.2_1(2).ves.317;PROVIDENT S C;['Providentia'];Altar;TRUE;['Providentia']
8529;http://numismatics.org/ocre/id/ric.4.ss.563B;MATER CASTRORVM;['Castor'];"Julia Domna, draped, standing left, sacrificing out of patera in right hand over altar (around which serpent coils?) and holding sceptre in right hand; to left, three standards";FALSE;['Castor']
8763;http://numismatics.org/ocre/id/ric.2_1(2).ves.1270;PROVIDENT S C;['Providentia'];"Rectangular altar, on which are palmettes and volutes, right and left of raised slab in center; in front, door with four panels";TRUE;['Providentia']
9055;http://numismatics.org/ocre/id/ric.3.m_aur.248;VOTA SOL DECENN COS III;['Sol', 'Sol Invictus'];Marcus Aurelius, veiled, togate, standing left, sacrificing out of patera in right hand over lighted altar left, holding roll in left hand at side: by altar, a bull prostrate.;FALSE;['Sol', 'Sol Invictus']
9873;http://numismatics.org/ocre/id/ric.5.cg.189;RESTITVTOR ORBIS;['Orbis'];Claudius Gothicus, standing left, sacrificing out of patera held in right hand at altar, and holding sceptre in left hand;TRUE;['Orbis']
9885;http://numismatics.org/ocre/id/ric.4.tr_d.82A;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
10584;http://numismatics.org/ocre/id/ric.4.crl.204;VOTA SOLVT DEC COS III;['Sol'];"Caracalla, veiled, togate, standing left, sacrificing out of patera in right hand over tripod and holding roll in left hand; by altar, bull";FALSE;['Sol']
10767;http://numismatics.org/ocre/id/ric.1(2).gal.172;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
10891;http://numismatics.org/ocre/id/ric.4.tr_d.98;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
11652;http://numismatics.org/ocre/id/ric.3.ant.1191Ab_dupondius;PIET AVG S C;['Pietas'];Rectangular altar, with door in front.;TRUE;['Pietas']
11814;http://numismatics.org/ocre/id/ric.5.cg.261;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
11895;http://numismatics.org/ocre/id/ric.5.aur.319;AVRELIANVS AVG CONS;['Constantia', 'Constantinopolis'];Aurelian, standing left, sacrificing at altar, holding patera in right hand and sceptre (short or long) or book in right hand;FALSE;['Constantia', 'Constantinopolis']
12210;http://numismatics.org/ocre/id/ric.4.tr_d.86;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
12843;http://numismatics.org/ocre/id/ric.2_1(2).ves.489;PROVIDENT S C;['Providentia'];Altar;TRUE;['Providentia']
13221;http://numismatics.org/ocre/id/ric.1(2).gal.96;SALVS GENE HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
13490;http://numismatics.org/ocre/id/ric.3.com.664;CONSECRATIO S C;['Constantia', 'Constantinopolis'];Eagle, head left, standing right on garlanded altar;FALSE;['Constantia', 'Constantinopolis']
13569;http://numismatics.org/ocre/id/ric.2_1(2).ves.313;PROVID S C;['Providentia'];Altar;TRUE;['Providentia']
13644;http://numismatics.org/ocre/id/ric.2_1(2).dom.305;SALVTI AVGVSTI S C;['Salus', 'Salus Augusta'];Rectangular altar with three steps, door with four panels, horns at ends;TRUE;['Salus', 'Salus Augusta']
13648;http://numismatics.org/ocre/id/ric.3.com.161;VOT SOL DEC P M TR P XII IMP VIII COS V P P;['Sol', 'Sol Invictus'];"Commodus, veiled, togate, standing left, sacrificing over lighted altar from patera in right hand; to left, victim";FALSE;['Sol', 'Sol Invictus']
13784;http://numismatics.org/ocre/id/ric.3.m_aur.1659;MATRI CASTRORVM S C;['Castor'];"Faustina, veiled, draped, standing left, sacrificing onto decorated and lighted altar from patera in right hand and holding incense-box in left hand; to left, three standards.";FALSE;['Castor']
13870;http://numismatics.org/ocre/id/ric.2_1(2).dom.625;COS XIIII LVD SAEC FEC S C;['Saeculum Frugiferum'];"Domitian standing left over altar; victimarius with bull left; flute and lyre players right; hexastyle column behind";FALSE;['Saeculum Frugiferum']
14198;http://numismatics.org/ocre/id/ric.5.val_i.285.3;PIETAS AVGG;['Pietas'];Valerian and Gallienus, standing face to face, sacrificing at altar between them;TRUE;['Pietas']
14668;http://numismatics.org/ocre/id/ric.1(2).gal.211;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
14674;http://numismatics.org/ocre/id/ric.3.ant.1009;VOTA SOL DECENN II COS IIII S C;['Sol', 'Sol Invictus'];"Antoninus Pius, standing left, sacrificing with patera over tripod, left arm at side; by altar, bull reclining";FALSE;['Sol', 'Sol Invictus']
14750;http://numismatics.org/ocre/id/ric.3.ant.292D;VOTA SOL DECENN II COS IIII;['Sol', 'Sol Invictus'];Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft;FALSE;['Sol', 'Sol Invictus']
14907;http://numismatics.org/ocre/id/ric.2_1(2).ves.631;PROVIDENT S C;['Providentia'];Altar;TRUE;['Providentia']
15341;http://numismatics.org/ocre/id/ric.4.tr_d.92B;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
15458;http://numismatics.org/ocre/id/ric.4.el.133B;SACERD DEI SOLIS ELAGAB;['Sol'];Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding upright club in left hand;TRUE;['Sol']
15566;http://numismatics.org/ocre/id/ric.4.tr_d.92;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
15718;http://numismatics.org/ocre/id/ric.5.cg.264;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
15745;http://numismatics.org/ocre/id/ric.1(2).vit.174;PROVIDENT S C;['Providentia'];Altar enclosure with double paneled door and projections at top corners;TRUE;['Providentia']
16227;http://numismatics.org/ocre/id/ric.1(2).vit.163;PROVIDENT S C;['Providentia'];Altar enclosure with double paneled door and projections at top corners;TRUE;['Providentia']
16390;http://numismatics.org/ocre/id/ric.4.tr_d.78;CONSECRATIO;['Constantia', 'Constantinopolis'];Rectangular altar, with four panels in front, lighted;FALSE;['Constantia', 'Constantinopolis']
16506;http://numismatics.org/ocre/id/ric.3.ant.1191Aa_as;PIET AVG S C;['Pietas'];Rectangular altar, with door in front.;TRUE;['Pietas']
16628;http://numismatics.org/ocre/id/ric.4.crl.191D;CONSECRATIO;['Constantia', 'Constantinopolis'];Eagle, standing front, head left, on low column or altar;FALSE;['Constantia', 'Constantinopolis']
16676;http://numismatics.org/ocre/id/ric.4.ss.880_dupondius;MATER CASTRORVM S C;['Castor'];"Julia Domna, diademed and veiled, draped, standing left, sacrificing out of patera in right hand over altar, holding sceptre in left hand; in front, three standards";FALSE;['Castor']
16823;http://numismatics.org/ocre/id/ric.2_1(2).ves.1201;PROVIDENT S C;['Providentia'];Garlanded altar;TRUE;['Providentia']
17099;http://numismatics.org/ocre/id/ric.3.m_aur.1495;PIETAS S C;['Pietas'];Piestas, draped, standing front, head left, raising right hand over lighted altar and holding incense box in left hand;TRUE;['Pietas']
17125;http://numismatics.org/ocre/id/ric.5.cg.263;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
17151;http://numismatics.org/ocre/id/ric.3.ant.292C;VOTA SOL DECENN II COS IIII;['Sol', 'Sol Invictus'];Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft;FALSE;['Sol', 'Sol Invictus']
17423;http://numismatics.org/ocre/id/ric.3.ant.1191Ab_as;PIET AVG S C;['Pietas'];Rectangular altar, with door in front.;TRUE;['Pietas']
17479;http://numismatics.org/ocre/id/ric.5.val_i.284;PIETAS AVGG;['Pietas'];Valerian and Gallienus, standing face to face, sacrificing at altar between them;TRUE;['Pietas']
17636;http://numismatics.org/ocre/id/ric.5.reg.1;CONCOR(rev. D)IA AVGG;['Concordia'];"Regalianus and Dryantilla, standing facing each other; between, altar";TRUE;['Concordia']
18525;http://numismatics.org/ocre/id/ric.5.aur.4;PACATOR ORBIS;['Orbis'];Aurelian, standing left by altar, holding sceptre;TRUE;['Orbis']
18633;http://numismatics.org/ocre/id/ric.5.car.111;CONSECRATIO AVG;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
18947;http://numismatics.org/ocre/id/ric.2_1(2).dom.628;COS XIIII LVD SAEC FEC S C;['Saeculum Frugiferum'];"Domitian standing left over altar; victimarius with sheep and goat left; flute and lyre players right; hexastyle column with eagle in pediment behind";FALSE;['Saeculum Frugiferum']
19059;http://numismatics.org/ocre/id/ric.3.ant.291A;VOTA SOL DEC II COS IIII;['Sol', 'Sol Invictus'];Antoninus Pius, veiled, togate. standing left, sacrificing out of patera in right hand over tripod-altar left, and holding roll in left hand at side: beside altar, a prostrate bulleft;FALSE;['Sol', 'Sol Invictus']
19102;http://numismatics.org/ocre/id/ric.2_1(2).ves.1167;PROVIDENT S C;['Providentia'];Altar;TRUE;['Providentia']
19135;http://numismatics.org/ocre/id/ric.3.m_aur.431;CONSECRATIO;['Constantia', 'Constantinopolis'];Eagle standing right, head left, on altar decoraed with garlands;FALSE;['Constantia', 'Constantinopolis']
19473;http://numismatics.org/ocre/id/ric.5.car.110;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
19728;http://numismatics.org/ocre/id/ric.3.m_aur.1662;MATRI CASTRORVM S C;['Castor'];"Faustina, veiled, draped, standing left, sacrificing onto decorated and lighted altar from patera in right hand and holding incense-box in left hand; to left, two standards.";FALSE;['Castor']
19748;http://numismatics.org/ocre/id/ric.4.ss.567_aureus;MATRI CASTRORVM;['Castor'];"Julia Domna, veiled, draped, standing left, sacrificing out of patera in right hand over altar and holding a box of incense in left hand; to left, two standards";FALSE;['Castor']
19808;http://numismatics.org/ocre/id/ric.3.com.281b;DIS GENITALIBVS;['Genius', 'Genius of Lugdunum', 'Genius of the Senate', 'Italia'];Garlanded and lighted rectangular altar;TRUE;['Genius']
19865;http://numismatics.org/ocre/id/ric.5.cg.260;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
19900;http://numismatics.org/ocre/id/ric.1(2).gal.147;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
20230;http://numismatics.org/ocre/id/ric.4.el.131;SACERD DEI SOLIS ELAGAB;['Sol'];"Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding upright club in left hand; usually in field, star";TRUE;['Sol']
20367;http://numismatics.org/ocre/id/ric.5.aur.320;AVRELIANVS AVG CONS;['Constantia', 'Constantinopolis'];Aurelian, standing left, sacrificing at altar, holding patera in right hand and short sceptre in left hand;FALSE;['Constantia', 'Constantinopolis']
20508;http://numismatics.org/ocre/id/ric.2_1(2).ves.1166;PROVIDENT S C;['Providentia'];Altar;TRUE;['Providentia']
20830;http://numismatics.org/ocre/id/ric.1(2).gal.206;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
21021;http://numismatics.org/ocre/id/ric.3.ant.1062;VOTA SOL DEC II COS IIII S C;['Sol', 'Sol Invictus'];"Antoninus Pius, standing left, sacrificing with patera over tripod, left arm at side; by altar, bull reclining";FALSE;['Sol', 'Sol Invictus']
21036;http://numismatics.org/ocre/id/ric.5.cg.265;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar, eagle to right or left;FALSE;['Constantia', 'Constantinopolis']
21142;http://numismatics.org/ocre/id/ric.5.post.165;SALVS AVGVSTI SC;['Salus', 'Salus Augusta'];Aesculapius, standing left, leaning on column, drawing serpent rising from altar toward him;TRUE;['Salus', 'Salus Augusta']
21235;http://numismatics.org/ocre/id/ric.5.gall(1).447c.2;PIETAS AVGG;['Pietas'];"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand";TRUE;['Pietas']
21239;http://numismatics.org/ocre/id/ric.2.tr.439;FIDES EXERCIT S C;['Fides', 'Fides Militum'];"Trajan standing right, clasping hands with soldier, who stands with three standard bearers; altar center";TRUE;['Fides']
21499;http://numismatics.org/ocre/id/ric.1(2).gal.208;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
21754;http://numismatics.org/ocre/id/ric.4.pert.16;DIS GENITORIBVS S C;['Genius', 'Genius of Lugdunum', 'Genius of the Senate'];"Unidentified female deity, towered, draped, standing front, sacrificing from patera in right hand over altar and holding box of perfumes in left hand; to right, naked childing standing on globe, holding up both hands";TRUE;['Genius']
22111;http://numismatics.org/ocre/id/ric.5.val_i.285.2;PIETAS AVGG;['Pietas'];Valerian and Gallienus, standing face to face, sacrificing at altar between them;TRUE;['Pietas']
22618;http://numismatics.org/ocre/id/ric.5.val_ii.24a;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
22635;http://numismatics.org/ocre/id/ric.1(2).gal.214;SALVS GEN HVMANI;['Salus', 'Salus Augusta'];Female figure, draped, standing left, right foot on globe, holding patera over altar with right hand and upright rudder with left;TRUE;['Salus']
23449;http://numismatics.org/ocre/id/ric.3.ant.1026;VOTA SOL DEC II COS IIII SC;['Sol', 'Sol Invictus'];"Antoninus Pius, standing left, sacrificing with patera over tripod, left arm at side; by altar, bull reclining";FALSE;['Sol', 'Sol Invictus']
23568;http://numismatics.org/ocre/id/ric.5.cg.259;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
23932;http://numismatics.org/ocre/id/ric.5.qu.41;CONSECRATIO;['Constantia', 'Constantinopolis'];Altar;FALSE;['Constantia', 'Constantinopolis']
24266;http://numismatics.org/ocre/id/ric.5.gall(1).447a;PIETAS AVGG;['Pietas'];"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand";TRUE;['Pietas']
25091;http://numismatics.org/ocre/id/ric.3.ant.1191B_as;PIET AVG S C;['Pietas'];Rectangular altar, with door in front.;TRUE;['Pietas']
25170;http://numismatics.org/ocre/id/ric.2_1(2).dom.623;COS XIIII LVD SAEC FEC S C;['Saeculum Frugiferum'];"Domitian standing left over altar; flute and lyre players left; temple behind";FALSE;['Saeculum Frugiferum']
25458;http://numismatics.org/ocre/id/ric.5.val_i.285;PIETAS AVGG;['Pietas'];Valerian and Gallienus, standing face to face, sacrificing at altar between them;TRUE;['Pietas']
25488;http://numismatics.org/ocre/id/ric.5.gall(1).447a.1;PIETAS AVGG;['Pietas'];"Gallienus and Valerian, standing face to face, sacrificing at altar; right figure holding patera in right hand and parazonium in left hand (?); left figure holding patera in right hand and eagle-tipped sceptre in left hand";TRUE;['Pietas']
25690;http://numismatics.org/ocre/id/ric.4.el.351;INVICTVS SACERDOS AVG S C;['Victory'];"Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding club in left hand; behind altar, bull crouching; something in field, star";FALSE;['Victory']
26017;http://numismatics.org/ocre/id/ric.4.el.134;SACERD DEI SOLIS ELAGAB;['Sol'];"Elagabalus, in Syrian priestly robes, standing right, sacrificing out of patera in right hand over lighted altar, holding upright club in left hand; in field, two stars";TRUE;['Sol']
26030;http://numismatics.org/ocre/id/ric.2_1(2).dom.624;COS XIIII LVD SAEC FEC S C;['Saeculum Frugiferum'];"Domitian standing left over altar; flute and lyre players left; temple behind";FALSE;['Saeculum Frugiferum']
26070;http://numismatics.org/ocre/id/ric.5.tet_i.164;CONSECRATIO;['Constantia', 'Constantinopolis'];Female figure, draped, standing left by altar, holding patera in right hand and spear or baton in left hand;FALSE;['Constantia', 'Constantinopolis']
26288;http://numismatics.org/ocre/id/ric.2_1(2).dom.226;SALVTI AVGVST S C;['Salus', 'Salus Augusta'];Rectangular altar on base with three steps, door with four panels, horns at ends;TRUE;['Salus', 'Salus Augusta']
26774;http://numismatics.org/ocre/id/ric.1(2).tib.80;PROVIDENT S C;['Providentia'];"Altar-enclosure with double paneled door right; various ornaments on top, left and right";TRUE;['Providentia']
27056;http://numismatics.org/ocre/id/ric.1(2).tib.81;PROVIDENT S C;['Providentia'];"Altar-enclosure with double paneled door right; various ornaments on top, left and right";TRUE;['Providentia']
